Date,Open,High,Low,Close,FormattedDate
Jun-12,65.45,70.6,62.14,67.83,01/06/2012
Jul-12,68.15,73.19,67.57,72.85,01/07/2012
Aug-12,73,74.78,65.27,65.97,01/08/2012
Sep-12,66.2,77.69,64.46,76.44,01/09/2012
Oct-12,76.4,84.2,75.6,82.29,01/10/2012
Nov-12,82.54,89.6,82.22,88.48,01/11/2012
Dec-12,89.2,95,88.01,92.84,01/12/2012
Jan-13,93.2,107,93.2,104.41,01/01/2013
Feb-13,104.41,107.8,93.4,94.5,01/02/2013
Mar-13,94,100.15,83.42,85.71,01/03/2013
Apr-13,85.7,101.8,83.43,100.28,01/04/2013
May-13,100.99,109.43,97.2,97.49,01/05/2013
Jun-13,99,102.94,87.15,92.2,01/06/2013
Jul-13,92.4,100.4,57.71,64.76,01/07/2013
Aug-13,66,67.81,43.22,48.65,01/08/2013
Sep-13,49.2,78.94,44.8,57.5,01/09/2013
Oct-13,58,76.44,56.08,73.76,01/10/2013
Nov-13,74,77.27,64.65,73.74,01/11/2013
Dec-13,74.4,83,71.63,74.02,01/12/2013
Jan-14,74.74,76.35,60.8,61.59,01/01/2014
Feb-14,61.54,62.7,58.42,60.95,01/02/2014
Mar-14,60.52,83.36,60.34,82.7,01/03/2014
Apr-14,83.45,94.98,80.8,88.14,01/04/2014
May-14,88.8,117.6,86.98,113.89,01/05/2014
Jun-14,114.8,117.57,101.62,108.38,01/06/2014
Jul-14,108.43,114.46,100.44,108.21,01/07/2014
Aug-14,107.4,118.69,103.31,114.33,01/08/2014
Sep-14,114.6,126.85,107.18,111.7,01/09/2014
Oct-14,112.1,137.8,109.2,136.83,01/10/2014
Nov-14,137.1,143.91,132.44,142.08,01/11/2014
Dec-14,142.08,155,134,154.57,01/12/2014
Jan-15,154.4,179,150.47,172.5,01/01/2015
Feb-15,172.5,173.88,156.1,172.55,01/02/2015
Mar-15,174.8,182,156.8,163.31,01/03/2015
Apr-15,162.8,172.8,154.53,167.96,01/04/2015
May-15,170,176.96,157.8,176.52,01/05/2015
Jun-15,177,179.4,158.9,168.6,01/06/2015
Jul-15,169,175.58,156.45,165.74,01/07/2015
Aug-15,165.9,169.19,118,137.9,01/08/2015
Sep-15,135.61,155.5,127,145.92,01/09/2015
Oct-15,146.96,155.94,141.73,151.82,01/10/2015
Nov-15,151.73,157.96,144.03,153.3,01/11/2015
Dec-15,153,154.52,133.71,145.23,01/12/2015
Jan-16,145,149.9,126.45,149.38,01/01/2016
Feb-16,150.4,157.85,132.74,137.67,01/02/2016
Mar-16,138.8,175.12,138.35,172.91,01/03/2016
Apr-16,172.02,190.44,165.33,188.73,01/04/2016
May-16,189.8,209,181.28,206.39,01/05/2016
Jun-16,206.4,223,201.14,221.3,01/06/2016
Jul-16,221.96,247.18,221.35,243.44,01/07/2016
Aug-16,244,275,240.68,272.56,01/08/2016
Sep-16,273.3,290,231.2,250.85,01/09/2016
Oct-16,253.41,265.5,245.8,253.52,01/10/2016
Nov-16,255,262.72,219.1,234.28,01/11/2016
Dec-16,235.4,245,218.25,231.26,01/12/2016
Jan-17,231.98,284.31,226.3,279.1,01/01/2017
Feb-17,280.4,294.19,275.61,290.56,01/02/2017
Mar-17,290.6,311.57,283.6,309.82,01/03/2017
Apr-17,309.6,330.58,300.2,326.14,01/04/2017
May-17,326,330.3,275.15,286.38,01/05/2017
Jun-17,286.66,306.34,280.21,292.37,01/06/2017
Jul-17,293.04,372,290.78,361.96,01/07/2017
Aug-17,363,368.52,337.37,351.15,01/08/2017
Sep-17,351,383.25,345.5,350,01/09/2017
Oct-17,354.6,375.75,299,314.35,01/10/2017
Nov-17,315.5,329.8,296,306.8,01/11/2017
Dec-17,307.2,319,300.65,315.05,01/12/2017
Jan-18,314,366,307.35,354.45,01/01/2018
Feb-18,355,366.5,304.65,322.25,01/02/2018
Mar-18,320.7,325.8,285.1,304.9,01/03/2018
Apr-18,305,368.75,303.3,362.05,01/04/2018
May-18,362.85,364.4,325.7,346.2,01/05/2018
Jun-18,348,350.1,327.35,339.6,01/06/2018
Jul-18,340,393.35,332.45,367.9,01/07/2018
Aug-18,369.95,404,338,343.4,01/08/2018
Sep-18,347.2,350,166.15,183.45,01/09/2018
Oct-18,180,268.45,168.6,188.05,01/10/2018
Nov-18,192,231.4,147,169.65,01/11/2018
Dec-18,174,194.3,160.2,181.75,01/12/2018
Jan-19,182.85,236.3,181.15,194.3,01/01/2019
Feb-19,197,236.9,167.65,231.2,01/02/2019
Mar-19,234.6,281.3,228.8,275.05,01/03/2019
Apr-19,277,285.9,165.3,168,01/04/2019
May-19,163.3,178.05,133.05,147.95,01/05/2019
Jun-19,147.95,153.8,98.75,108.7,01/06/2019
Jul-19,109.6,110.6,81.75,91.3,01/07/2019
Aug-19,89.2,92.4,53.15,59.5,01/08/2019
Sep-19,59.5,72.55,40.95,41.45,01/09/2019
Oct-19,42,76.65,29.05,70.45,01/10/2019
Nov-19,71,75.35,59.95,68.3,01/11/2019
Dec-19,70,70.5,40.7,46.95,01/12/2019
Jan-20,46.9,48.5,36.55,39.2,01/01/2020
Feb-20,39.1,40.7,33.6,34.55,01/02/2020
Mar-20,35.2,87.95,5.55,22.45,01/03/2020
Apr-20,22.3,30.45,20.3,27.95,01/04/2020
May-20,27.8,31.6,25.2,26.85,01/05/2020
Jun-20,27.75,31.95,25.55,25.6,01/06/2020
Jul-20,25.6,28.3,11.1,11.95,01/07/2020
Aug-20,12,17.16,11.85,14.37,01/08/2020
Sep-20,14.3,15.34,12.75,13.15,01/09/2020
Oct-20,13.3,14.01,12.11,12.42,01/10/2020
Nov-20,12.41,14.9,12.21,14.67,01/11/2020
